,id,x,y,z
0,12386602740474395573,-141.51348876953125,-95.10696411132812,0.0
1,12386602740474395573,-173.5418701171875,-95.15521240234375,0.0
2,12382528784717207091,-141.51348876953125,-95.10696411132812,0.0
3,12382528784717207091,-173.54185485839844,-95.15521240234375,0.0
4,13879613965084066930,-141.5187530517578,-91.60697174072266,0.0
5,13879613965084066930,-173.54713439941406,-91.65522003173828,0.0
6,16432123188999333926,-141.5187530517578,-91.60697174072266,0.0
7,16432123188999333926,-173.54713439941406,-91.65522003173828,0.0
8,18009138550472222127,-173.5524139404297,-88.15521240234375,0.0
9,18009138550472222127,-141.52403259277344,-88.10697174072266,0.0
10,2674165210508610249,-173.5524139404297,-88.15521240234375,0.0
11,2674165210508610249,-141.52403259277344,-88.10697937011719,0.0
12,3909053892445930538,-173.55767822265625,-84.65522003173828,0.0
13,3909053892445930538,-141.52931213378906,-84.60697937011719,0.0
14,12275064233234379726,-173.55767822265625,-84.65522003173828,0.0
15,12275064233234379726,-141.529296875,-84.60698699951172,0.0
16,10337560334847236051,17.167255401611328,-4.4924798011779785,0.0
17,10337560334847236051,-36.39258575439453,-4.362112045288086,0.0
18,14033542231614215701,17.167255401611328,-4.4924798011779785,0.0
19,14033542231614215701,-36.3925895690918,-4.362112045288086,0.0
20,6548900544497471564,17.17577362060547,-0.9924901127815247,0.0
21,6548900544497471564,-36.38406753540039,-0.8621227741241455,0.0
22,16569905315821203816,17.17577362060547,-0.9924901127815247,0.0
23,16569905315821203816,-36.38406753540039,-0.8621227741241455,0.0
24,2139940443040284188,-36.375545501708984,2.637866735458374,0.0
25,4965446707674586072,17.18429183959961,2.5074994564056396,0.0
26,16575157129483843417,-36.375545501708984,2.637866735458374,0.0
27,4958845534709469639,17.18429183959961,2.5074994564056396,0.0
28,4958845534709469639,-36.367027282714844,6.137856483459473,0.0
29,2307954369026503457,17.192811965942383,6.007489204406738,0.0
30,2307954369026503457,-36.367027282714844,6.137856483459473,0.0
31,5461815965147994986,17.192811965942383,6.007489204406738,0.0
32,5461815965147994986,-61.76251220703125,-4.300360679626465,0.0
33,12419195423671122398,-111.4023666381836,-4.179534912109375,0.0
34,12419195423671122398,-61.76251220703125,-4.300360679626465,0.0
35,73913491165191069,-111.40235900878906,-4.179534912109375,0.0
36,8908982358938729897,-61.75399398803711,-0.8003711104393005,0.0
37,17468924482336941456,-111.39384460449219,-0.6795451641082764,0.0
38,17447655715458838983,-61.75399398803711,-0.8003711104393005,0.0
39,6524225653119697691,-111.39384460449219,-0.6795451641082764,0.0
40,12581666758466411771,-111.38533020019531,2.820444345474243,0.0
41,5342752891233636477,-61.7454719543457,2.699618339538574,0.0
42,5239423835230094827,-111.38533020019531,2.820444345474243,0.0
